datetime,open,high,low,close,hlc3,ST_First_Period_Value,ST_First_Period_Direction,ST_Second_Period_Value,ST_Second_Period_Direction,EMA9,EMA21,RSI,SmoothedRSI
2024-09-23 09:15:00+05:30,25872.55,25910.35,25849.5,25892.0,25883.95,,,,,,,,
2024-09-23 09:30:00+05:30,25892.75,25911.7,25879.9,25891.8,25894.47,,,,,,,,
2024-09-23 09:45:00+05:30,25891.05,25925.8,25891.05,25904.15,25907.0,,,,,,,,
2024-09-23 10:00:00+05:30,25904.4,25916.7,25895.5,25897.05,25903.08,,,,,,,,
2024-09-23 10:15:00+05:30,25897.4,25901.65,25881.15,25891.85,25891.55,,,,,,,,
2024-09-23 10:30:00+05:30,25892.5,25893.4,25859.65,25874.45,25875.83,,,,,,,,
2024-09-23 10:45:00+05:30,25874.5,25891.55,25868.05,25884.55,25881.38,,,,,,,,
2024-09-23 11:00:00+05:30,25885.35,25892.65,25879.25,25881.45,25884.45,,,,,,,,
2024-09-23 11:15:00+05:30,25882.1,25886.15,25866.25,25868.45,25873.62,,,,,25888.37,,,
2024-09-23 11:30:00+05:30,25868.7,25870.55,25854.2,25863.85,25862.87,25820.98,1.0,25793.38,1.0,25883.27,,,
2024-09-23 11:45:00+05:30,25863.7,25879.95,25847.35,25879.95,25869.08,25821.5,1.0,25793.4,1.0,25880.43,,,
2024-09-23 12:00:00+05:30,25878.5,25880.25,25866.65,25867.25,25871.38,25833.48,1.0,25806.82,1.0,25878.62,,,
2024-09-23 12:15:00+05:30,25866.8,25875.15,25862.8,25866.8,25868.25,25833.48,1.0,25806.82,1.0,25876.55,,,
2024-09-23 12:30:00+05:30,25866.55,25875.1,25857.1,25870.8,25867.67,25833.48,1.0,25806.82,1.0,25874.77,,,
2024-09-23 12:45:00+05:30,25870.7,25874.45,25861.6,25872.55,25869.53,25833.48,1.0,25809.69,1.0,25873.72,,41.0,
2024-09-23 13:00:00+05:30,25873.1,25895.7,25871.15,25883.6,25883.48,25848.24,1.0,25824.79,1.0,25875.67,,46.85,
2024-09-23 13:15:00+05:30,25884.1,25898.85,25880.1,25893.95,25890.97,25855.0,1.0,25832.01,1.0,25878.73,,51.69,
2024-09-23 13:30:00+05:30,25893.05,25907.45,25893.05,25905.15,25901.88,25867.06,1.0,25844.94,1.0,25883.36,,56.32,
2024-09-23 13:45:00+05:30,25905.05,25913.6,25902.2,25906.05,25907.28,25876.32,1.0,25855.27,1.0,25888.15,,56.68,
2024-09-23 14:00:00+05:30,25906.75,25911.6,25897.35,25907.2,25905.38,25876.32,1.0,25855.27,1.0,25891.59,,57.16,
2024-09-23 14:15:00+05:30,25906.9,25934.85,25906.1,25929.6,25923.52,25888.66,1.0,25867.45,1.0,25897.98,25886.51,65.31,
2024-09-23 14:30:00+05:30,25927.8,25936.8,25914.9,25928.35,25926.68,25893.93,1.0,25872.65,1.0,25903.72,25890.16,64.57,
2024-09-23 14:45:00+05:30,25929.8,25945.9,25920.9,25924.1,25930.3,25900.92,1.0,25879.27,1.0,25909.04,25893.81,62.01,
2024-09-23 15:00:00+05:30,25925.1,25956.0,25919.9,25938.75,25938.22,25903.31,1.0,25880.21,1.0,25914.87,25897.84,66.89,
2024-09-23 15:15:00+05:30,25940.85,25947.1,25923.35,25930.15,25933.53,25903.31,1.0,25880.21,1.0,25918.6,25901.09,61.86,
2024-09-24 09:15:00+05:30,25921.45,25938.05,25886.85,25932.4,25919.1,25903.31,1.0,25880.21,1.0,25918.7,25902.73,62.65,
2024-09-24 09:30:00+05:30,25932.9,25959.05,25918.8,25955.6,25944.48,25903.31,1.0,25880.21,1.0,25923.86,25906.52,69.64,
2024-09-24 09:45:00+05:30,25954.95,25975.55,25950.45,25963.65,25963.22,25922.25,1.0,25895.09,1.0,25931.73,25911.68,71.63,59.59
2024-09-24 10:00:00+05:30,25963.2,25978.9,25947.95,25956.15,25961.0,25922.25,1.0,25895.09,1.0,25937.58,25916.16,67.22,60.61
2024-09-24 10:15:00+05:30,25956.3,25981.5,25955.5,25969.25,25968.75,25927.42,1.0,25900.03,1.0,25943.82,25920.94,70.62,61.94
2024-09-24 10:30:00+05:30,25969.05,25977.95,25947.0,25951.3,25958.75,25927.42,1.0,25900.03,1.0,25946.8,25924.38,61.24,61.85
2024-09-24 10:45:00+05:30,25951.55,25961.5,25937.55,25960.45,25953.17,25927.42,1.0,25900.03,1.0,25948.08,25927.0,63.88,62.12
2024-09-24 11:00:00+05:30,25960.75,25961.85,25945.45,25948.95,25952.08,25927.42,1.0,25900.03,1.0,25948.88,25929.28,58.5,61.64
2024-09-24 11:15:00+05:30,25948.5,25948.85,25920.35,25930.35,25933.18,25927.42,1.0,25900.03,1.0,25945.74,25929.63,51.01,60.22
2024-09-24 11:30:00+05:30,25931.55,25934.35,25918.5,25922.4,25925.08,25964.58,-1.0,25900.03,1.0,25941.61,25929.22,48.18,58.61
2024-09-24 11:45:00+05:30,25922.85,25931.75,25905.75,25911.65,25916.38,25956.99,-1.0,25900.03,1.0,25936.56,25928.05,44.57,56.74
2024-09-24 12:00:00+05:30,25911.4,25927.7,25911.0,25921.55,25920.08,25956.27,-1.0,25900.03,1.0,25933.27,25927.33,48.4,55.63
2024-09-24 12:15:00+05:30,25921.4,25946.0,25920.1,25939.15,25935.08,25956.27,-1.0,25900.03,1.0,25933.63,25928.03,54.43,55.47
2024-09-24 12:30:00+05:30,25938.9,25951.95,25935.4,25947.4,25944.92,25956.27,-1.0,25900.03,1.0,25935.89,25929.57,56.97,55.67
2024-09-24 12:45:00+05:30,25947.65,25963.75,25946.3,25957.45,25955.83,25920.11,1.0,25900.03,1.0,25939.88,25931.95,59.91,56.24
2024-09-24 13:00:00+05:30,25957.8,25966.75,25952.8,25964.35,25961.3,25926.26,1.0,25903.92,1.0,25944.16,25934.62,61.83,56.98
2024-09-24 13:15:00+05:30,25964.6,25968.95,25957.55,25959.65,25962.05,25931.38,1.0,25910.13,1.0,25947.74,25937.12,59.73,57.35
2024-09-24 13:30:00+05:30,25959.45,25972.0,25951.1,25967.75,25963.62,25931.38,1.0,25910.13,1.0,25950.91,25939.52,62.12,57.98
2024-09-24 13:45:00+05:30,25967.4,25984.25,25960.6,25964.95,25969.93,25940.24,1.0,25918.78,1.0,25954.72,25942.29,60.77,58.36
2024-09-24 14:00:00+05:30,25964.2,25982.9,25962.05,25973.4,25972.78,25940.38,1.0,25918.98,1.0,25958.33,25945.06,63.35,59.02
2024-09-24 14:15:00+05:30,25973.3,25993.4,25960.5,25973.35,25975.75,25943.13,1.0,25920.58,1.0,25961.81,25947.85,63.32,59.59
2024-09-24 14:30:00+05:30,25974.1,25987.8,25969.9,25979.1,25978.93,25945.73,1.0,25923.64,1.0,25965.24,25950.68,65.13,60.33
2024-09-24 14:45:00+05:30,25979.7,26011.55,25948.3,25950.5,25970.12,25945.73,1.0,25923.64,1.0,25966.21,25952.44,51.54,59.16
2024-09-24 15:00:00+05:30,25950.25,25958.0,25918.65,25944.15,25940.27,25979.6,-1.0,25923.64,1.0,25961.03,25951.34,49.09,57.82
2024-09-24 15:15:00+05:30,25943.8,25959.15,25939.8,25951.9,25950.28,25979.6,-1.0,25923.64,1.0,25958.88,25951.24,52.08,57.05
2024-09-25 09:15:00+05:30,25899.45,25951.75,25891.7,25939.15,25927.53,25966.8,-1.0,25923.64,1.0,25952.61,25949.09,47.17,55.74
2024-09-25 09:30:00+05:30,25939.2,25945.95,25922.05,25939.5,25935.83,25966.8,-1.0,25923.64,1.0,25949.25,25947.88,47.32,54.61
2024-09-25 09:45:00+05:30,25939.35,25954.15,25929.6,25943.6,25942.45,25966.8,-1.0,25923.64,1.0,25947.89,25947.39,49.1,53.88
2024-09-25 10:00:00+05:30,25943.75,25950.65,25904.15,25911.25,25922.02,25966.8,-1.0,26004.15,-1.0,25942.72,25945.08,38.12,51.78
2024-09-25 10:15:00+05:30,25911.2,25926.6,25900.9,25909.1,25912.2,25959.05,-1.0,25989.25,-1.0,25936.61,25942.09,37.52,49.88
2024-09-25 10:30:00+05:30,25909.1,25927.05,25907.25,25918.45,25917.58,25959.05,-1.0,25989.25,-1.0,25932.81,25939.86,41.82,48.8
2024-09-25 10:45:00+05:30,25918.6,25924.05,25910.6,25914.7,25916.45,25958.71,-1.0,25986.3,-1.0,25929.54,25937.73,40.61,47.71
2024-09-25 11:00:00+05:30,25915.1,25928.05,25910.6,25914.95,25917.87,25958.71,-1.0,25985.76,-1.0,25927.2,25935.93,40.73,46.78
2024-09-25 11:15:00+05:30,25915.0,25930.9,25912.25,25925.2,25922.78,25958.71,-1.0,25985.76,-1.0,25926.32,25934.73,45.68,46.63
2024-09-25 11:30:00+05:30,25925.7,25930.55,25901.75,25902.6,25911.63,25955.28,-1.0,25981.36,-1.0,25923.38,25932.63,38.12,45.5
