stock_id,stock_symbol,instrument_key,sector_id
1,Nifty_50,Nifty 50,1
2,Nifty_Bank,Nifty Bank,1
3,Nifty_IT,Nifty IT,1
4,Nifty_AUTO,Nifty Auto,1
5,Nifty_ENERGY,Nifty Energy,1
6,Nifty_INFRA,Nifty Infra,1
7,Nifty_FMCG,Nifty FMCG,1
8,Nifty_METAL,Nifty Metal,1
9,Nifty_PHARMA,Nifty Pharma,1
10,Nifty_PSU_Bank,Nifty PSU Bank,1
11,Nifty_Private_Bank,Nifty Pvt Bank,1
12,Nifty_Fin_Service,Nifty Fin Service,1
13,HDFCBANK,INE040A01034,2
14,ICICIBANK,INE090A01021,2
15,KOTAKBANK,INE237A01028,2
16,AXISBANK,INE238A01034,2
17,SBIN,INE062A01020,2
18,INDUSIND,INE095A01012,2
19,BANKBARODA,INE028A01039,2
20,FEDERALBNK,INE171A01029,2
21,AUBANK,INE949L01017,2
22,PNB,INE160A01022,2
23,IDFC,INE043D01016,2
24,BAJFINANCE,INE296A01024,12
25,BAJAJFINSV,INE918I01026,12
26,SHRIRAMFIN,INE721A01013,12
27,PFC,INE134E01011,12
28,RECLTD,INE020B01018,12
29,INFY,INE009A01021,3
30,TCS,INE467B01029,3
31,HCLTECH,INE860A01027,3
32,TECHM,INE669C01036,3
33,WIPRO,INE075A01022,3
34,LTIM,INE214T01019,3
35,PERSISTENT,INE262H01021,3
36,COFORGE,INE591G01017,3
37,LTTS,INE010V01017,3
38,MPHASIS,INE356A01018,3
39,M&M,INE101A01026,4
40,MARUTI,INE585B01010,4
41,TATAMOTORS,INE155A01022,4
42,BAJAJ-AUTO,INE917I01010,4
43,EICHERMOT,INE066A01021,4
44,HEROMOTO,INE158A01026,4
45,TVSMOTOR,INE494B01023,4
46,MSUMI,INE0FS801015,4
47,ASHOKLEY,INE208A01029,4
48,BHARATFORG,INE465A01025,4
49,BALKRISHNA,INE875R01011,4
50,RELIANCE,INE002A01018,5
51,NTPC,INE733E01010,5
52,POWERGRID,INE752E01010,5
53,ONGC,INE213A01029,5
54,BPCL,INE029A01011,5
55,COALINDIA,INE522F01014,5
56,TATAPOWER,INE245A01021,5
57,IOC,INE242A01010,5
58,ADANIGREEN,INE364U01010,5
59,ITC,INE154A01025,7
60,HINDUNILVR,INE030A01027,7
61,NESTLEIND,INE239A01024,7
62,TATACONSUM,INE192A01025,7
63,BRITANNIA,INE216A01030,7
64,VBL,INE200M01021,7
65,GODREJCP,INE102D01028,7
66,COLPAL,INE259A01022,7
67,UNITDSPR,INE854D01024,7
68,DABUR,INE016A01026,7
69,MARICO,INE196A01026,7
70,TATASTEEL,INE081A01020,8
71,ADANIENT,INE423A01024,8
72,JSWSTEEL,INE019A01038,8
73,HINDALCO,INE038A01020,8
74,VEDANTA,INE205A01025,8
75,JINDALSTEL,INE749A01030,8
76,JSL,INE220G01021,8
77,NMDC,INE584A01023,8
78,APLAPOLLO,INE702C01027,8
79,SAIL,INE114A01011,8
80,NATIONALUM,INE139A01034,8
81,SUNPHARMA,INE044A01036,9
82,DRREDDY,INE089A01023,9
83,CIPLA,INE059A01026,9
84,DIVISLAB,INE361B01024,9
85,LUPIN,INE326A01037,9
86,AUROPHARMA,INE406A01037,9
87,GLENMARK,INE935A01035,9
88,TORNTPHARM,INE685A01028,9
89,ALKEM,INE540L01014,9
90,ZYDUSLIFE,INE010B01027,9
91,IPCALAB,INE571A01038,9
92,LT,INE018A01030,6
93,BHARTIARTL,INE397D01024,6
94,ULTRACEMCO,INE481G01011,6
95,ADANIPORTS,INE742F01042,6
96,GRASIM,INE047A01021,6

