datetime,open,high,low,close,hlc3,ST_First_Period_Value,ST_First_Period_Direction,ST_Second_Period_Value,ST_Second_Period_Direction,EMA9,EMA21,RSI,SmoothedRSI,PPO_HLC3_EMA9,PPO_EMA9_EMA21,PPO_RSI_EMARSI,ROC_HLC3,ROC_EMA9,ROC_EMA21,ROC_RSI,ROC_EMARSI
2024-09-26 10:18:00+05:30,26069.95,26071.8,26054.15,26057.6,26061.18,26018.28,1,26002.4,1,26055.51,26045.62,57.75,61.05,2.18,3.8,-540.54,-1.85,0.55,0.6,-1416.47,-82.85
2024-09-26 10:21:00+05:30,26057.25,26059.85,26048.75,26051.65,26053.42,26018.28,1,26002.4,1,26055.09,26046.33,53.82,60.09,-0.64,3.36,-1043.43,-2.98,-0.16,0.27,-680.52,-157.25
2024-09-26 10:24:00+05:30,26050.5,26066.3,26050.5,26064.05,26060.28,26018.28,1,26002.4,1,26056.13,26047.59,59.93,60.07,1.59,3.28,-23.31,2.63,0.4,0.48,1135.27,-3.33
2024-09-26 10:27:00+05:30,26063.6,26068.8,26062.8,26065.95,26065.85,26022.8,1,26008.46,1,26058.07,26049.25,60.79,60.16,2.99,3.39,104.72,2.14,0.74,0.64,143.5,14.98
2024-09-26 10:30:00+05:30,26065.95,26068.15,26053.55,26064.35,26062.02,26022.8,1,26008.46,1,26058.86,26050.41,59.64,60.09,1.21,3.24,-74.89,-1.47,0.3,0.45,-189.18,-11.64
2024-09-26 10:33:00+05:30,26062.55,26077.3,26062.05,26072.0,26070.45,26026.3,1,26011.84,1,26061.18,26052.24,63.23,60.51,3.56,3.43,449.51,3.23,0.89,0.7,601.95,69.9
2024-09-26 10:36:00+05:30,26070.85,26077.75,26059.85,26061.6,26066.4,26026.3,1,26011.84,1,26062.22,26053.52,55.93,59.9,1.6,3.34,-662.77,-1.55,0.4,0.49,-1154.52,-100.81
2024-09-26 10:39:00+05:30,26061.1,26065.25,26057.0,26064.9,26062.38,26026.3,1,26011.84,1,26062.25,26054.33,57.61,59.6,0.05,3.04,-333.89,-1.54,0.01,0.31,300.38,-50.08
2024-09-26 10:42:00+05:30,26064.6,26087.8,26062.8,26065.9,26072.17,26029.49,1,26014.22,1,26064.24,26055.95,58.12,59.4,3.04,3.18,-215.49,3.76,0.76,0.62,88.53,-33.56
2024-09-26 10:45:00+05:30,26064.6,26072.2,26058.5,26059.6,26063.43,26029.49,1,26014.22,1,26064.08,26056.63,53.67,58.63,-0.25,2.86,-845.98,-3.35,-0.06,0.26,-765.66,-129.63
2024-09-26 10:48:00+05:30,26058.4,26067.6,26058.1,26061.6,26062.43,26029.49,1,26014.22,1,26063.75,26057.16,54.85,58.13,-0.51,2.53,-564.25,-0.38,-0.13,0.2,219.86,-85.28
2024-09-26 10:51:00+05:30,26061.95,26072.2,26057.8,26065.45,26065.15,26029.49,1,26014.22,1,26064.03,26057.88,57.12,58.0,0.43,2.36,-151.72,1.04,0.11,0.28,413.86,-22.36
2024-09-26 10:54:00+05:30,26064.8,26068.85,26060.4,26065.05,26064.77,26029.49,1,26014.22,1,26064.18,26058.51,56.8,57.84,0.23,2.18,-179.81,-0.15,0.06,0.24,-56.02,-27.59
2024-09-26 10:57:00+05:30,26065.6,26068.4,26057.6,26064.4,26063.47,26029.49,1,26014.22,1,26064.03,26058.96,56.25,57.62,-0.21,1.95,-237.76,-0.5,-0.06,0.17,-96.83,-38.04
2024-09-26 11:00:00+05:30,26065.45,26067.75,26058.0,26058.4,26061.38,26029.49,1,26014.22,1,26063.5,26059.18,51.31,56.78,-0.81,1.66,-963.37,-0.8,-0.2,0.08,-878.22,-145.78
2024-09-26 11:03:00+05:30,26058.6,26072.75,26056.35,26070.45,26066.52,26029.49,1,26014.22,1,26064.11,26059.85,59.09,57.09,0.92,1.63,350.32,1.97,0.23,0.26,1516.27,54.6
2024-09-26 11:06:00+05:30,26070.45,26074.45,26066.6,26066.6,26069.22,26031.74,1,26018.81,1,26065.13,26060.7,56.01,56.95,1.57,1.7,-165.06,1.04,0.39,0.33,-521.24,-24.52
2024-09-26 11:09:00+05:30,26066.8,26067.45,26057.15,26061.3,26061.97,26031.74,1,26018.81,1,26064.5,26060.82,51.99,56.29,-0.97,1.41,-763.9,-2.78,-0.24,0.05,-717.73,-115.89
2024-09-26 11:12:00+05:30,26061.0,26078.2,26060.75,26073.3,26070.75,26031.74,1,26018.81,1,26065.75,26061.72,59.14,56.67,1.92,1.55,435.86,3.37,0.48,0.35,1375.26,67.51
2024-09-26 11:15:00+05:30,26073.5,26078.15,26064.45,26065.2,26069.27,26031.74,1,26018.81,1,26066.45,26062.41,53.36,56.23,1.08,1.55,-510.4,-0.57,0.27,0.26,-977.34,-77.64
2024-09-26 11:18:00+05:30,26065.5,26067.0,26060.75,26062.55,26063.43,26031.74,1,26018.81,1,26065.85,26062.5,51.59,55.61,-0.93,1.29,-722.89,-2.24,-0.23,0.03,-331.71,-110.26
2024-09-26 11:21:00+05:30,26063.95,26067.75,26060.4,26061.9,26063.35,26031.74,1,26018.81,1,26065.35,26062.58,51.14,55.01,-0.77,1.06,-703.51,-0.03,-0.19,0.03,-87.23,-107.89
2024-09-26 11:24:00+05:30,26061.65,26070.2,26061.65,26067.35,26066.4,26031.74,1,26019.4,1,26065.56,26062.92,54.7,54.97,0.32,1.01,-49.12,1.17,0.08,0.13,696.13,-7.27
2024-09-26 11:27:00+05:30,26067.8,26069.6,26061.7,26063.6,26064.97,26031.89,1,26020.63,1,26065.44,26063.11,51.9,54.56,-0.18,0.89,-487.54,-0.55,-0.05,0.07,-511.88,-74.59
2024-09-26 11:30:00+05:30,26063.65,26068.45,26055.0,26061.6,26061.68,26031.89,1,26020.63,1,26064.69,26062.98,50.41,54.01,-1.15,0.66,-666.54,-1.26,-0.29,-0.05,-287.09,-100.81
2024-09-26 11:33:00+05:30,26062.35,26071.55,26059.15,26069.6,26066.77,26031.89,1,26020.63,1,26065.11,26063.32,55.85,54.25,0.64,0.69,294.93,1.95,0.16,0.13,1079.15,44.44
2024-09-26 11:36:00+05:30,26070.45,26075.4,26067.0,26072.5,26071.63,26037.45,1,26026.2,1,26066.41,26064.08,57.66,54.71,2.0,0.89,539.21,1.86,0.5,0.29,324.08,84.79
2024-09-26 11:39:00+05:30,26072.3,26075.25,26067.4,26067.85,26070.17,26038.6,1,26027.69,1,26067.16,26064.63,53.85,54.59,1.15,0.97,-135.56,-0.56,0.29,0.21,-660.77,-21.93
2024-09-26 11:42:00+05:30,26067.6,26074.4,26067.3,26070.8,26070.83,26039.28,1,26028.75,1,26067.9,26065.2,55.84,54.76,1.12,1.04,197.22,0.25,0.28,0.22,369.55,31.14
2024-09-26 11:45:00+05:30,26071.15,26075.75,26069.4,26074.7,26073.28,26042.26,1,26032.15,1,26068.97,26065.93,58.41,55.25,1.65,1.17,571.95,0.94,0.41,0.28,460.24,89.48
2024-09-26 11:48:00+05:30,26074.85,26082.65,26073.7,26079.6,26078.65,26048.21,1,26038.22,1,26070.91,26067.09,61.43,56.07,2.97,1.47,955.95,2.06,0.74,0.45,517.03,148.42
2024-09-26 11:51:00+05:30,26079.1,26085.75,26072.85,26081.85,26080.15,26048.46,1,26038.22,1,26072.76,26068.27,62.77,56.96,2.83,1.72,1020.01,0.58,0.71,0.45,218.13,158.73
2024-09-26 11:54:00+05:30,26081.65,26085.05,26078.75,26078.75,26080.85,26052.25,1,26042.37,1,26074.38,26069.42,59.7,57.33,2.48,1.9,413.4,0.27,0.62,0.44,-489.09,64.96
2024-09-26 11:57:00+05:30,26078.35,26088.4,26077.8,26080.95,26082.38,26053.24,1,26043.28,1,26075.98,26070.6,61.15,57.84,2.45,2.06,572.27,0.59,0.61,0.45,242.88,88.96
2024-09-26 12:00:00+05:30,26081.7,26094.8,26080.05,26088.5,26087.78,26056.12,1,26045.69,1,26078.34,26072.16,65.73,58.89,3.62,2.37,1161.49,2.07,0.91,0.6,748.98,181.54
2024-09-26 12:03:00+05:30,26088.45,26093.8,26087.5,26090.8,26090.7,26060.59,1,26050.57,1,26080.81,26073.84,67.0,59.97,3.79,2.67,1172.25,1.12,0.95,0.64,193.21,183.39
2024-09-26 12:06:00+05:30,26091.4,26096.9,26085.05,26087.75,26089.9,26060.59,1,26050.57,1,26082.63,26075.3,63.62,60.46,2.79,2.81,522.66,-0.31,0.7,0.56,-504.48,81.71
2024-09-26 12:09:00+05:30,26087.6,26093.85,26086.0,26092.75,26090.87,26060.59,1,26050.57,1,26084.28,26076.72,66.6,61.28,2.53,2.9,868.15,0.37,0.63,0.54,468.41,135.63
2024-09-26 12:12:00+05:30,26092.25,26098.0,26090.85,26095.6,26094.82,26065.37,1,26055.68,1,26086.38,26078.36,68.19,62.2,3.24,3.08,963.02,1.51,0.81,0.63,238.74,150.13
2024-09-26 12:15:00+05:30,26095.3,26098.35,26091.85,26091.85,26094.02,26067.0,1,26057.63,1,26087.91,26079.79,63.87,62.42,2.34,3.11,232.3,-0.31,0.59,0.55,-633.52,35.37
2024-09-26 12:18:00+05:30,26092.25,26111.4,26088.7,26103.0,26101.03,26067.94,1,26057.63,1,26090.54,26081.72,69.97,63.43,4.02,3.38,1031.06,2.69,1.01,0.74,955.06,161.81
2024-09-26 12:21:00+05:30,26103.85,26107.85,26091.5,26093.4,26097.58,26067.94,1,26057.63,1,26091.94,26083.16,60.5,63.04,2.16,3.37,-402.92,-1.32,0.54,0.55,-1353.44,-61.49
2024-09-26 12:24:00+05:30,26093.6,26096.15,26089.7,26093.5,26093.12,26067.94,1,26057.63,1,26092.18,26084.07,60.56,62.71,0.36,3.11,-342.85,-1.71,0.09,0.35,9.92,-52.35
2024-09-26 12:27:00+05:30,26094.4,26097.5,26090.9,26092.9,26093.77,26067.94,1,26057.63,1,26092.5,26084.95,59.97,62.34,0.49,2.89,-380.17,0.25,0.12,0.34,-97.42,-59.0
2024-09-26 12:30:00+05:30,26093.55,26094.15,26080.7,26082.1,26085.65,26067.94,1,26057.63,1,26091.13,26085.01,50.48,60.76,-2.1,2.35,-1691.9,-3.11,-0.53,0.02,-1582.46,-253.45
2024-09-26 12:33:00+05:30,26081.85,26090.6,26078.65,26084.45,26084.57,26067.94,1,26057.63,1,26089.82,26084.97,52.25,59.63,-2.01,1.86,-1237.63,-0.41,-0.5,-0.02,350.63,-185.98
2024-09-26 12:36:00+05:30,26084.7,26094.9,26083.15,26090.4,26089.48,26067.94,1,26057.63,1,26089.75,26085.38,56.49,59.21,-0.1,1.68,-459.38,1.88,-0.03,0.16,811.48,-70.43
2024-09-26 12:39:00+05:30,26091.55,26098.95,26090.7,26094.95,26094.87,26067.94,1,26057.63,1,26090.77,26086.24,59.46,59.24,1.57,1.74,37.14,2.07,0.39,0.33,525.76,5.07
2024-09-26 12:42:00+05:30,26094.65,26103.8,26094.15,26094.2,26097.38,26067.94,1,26057.63,1,26092.09,26087.26,58.75,59.18,2.03,1.85,-72.66,0.96,0.51,0.39,-119.41,-10.13
